,topic
0,"0.026*""사형"" + 0.023*""밥"" + 0.023*""하나"" + 0.022*""세금"" + 0.021*""범죄"" + 0.021*""죽"" + 0.018*""법"" + 0.017*""미약"" + 0.017*""집행"" + 0.017*""정신병"""
1,"0.042*""사형"" + 0.025*""범죄"" + 0.023*""집행"" + 0.020*""국민"" + 0.020*""대통령"" + 0.020*""윤석열"" + 0.019*""줄"" + 0.018*""칼"" + 0.018*""세상"" + 0.017*""위조"""
2,"0.035*""범"" + 0.033*""흉악"" + 0.032*""재발"" + 0.023*""파악"" + 0.022*""음주운전"" + 0.021*""사형"" + 0.018*""정신"" + 0.018*""개혁"" + 0.017*""판결"" + 0.017*""무기징역"""
3,"0.089*""처벌"" + 0.031*""시"" + 0.027*""가중"" + 0.026*""보"" + 0.026*""촉구"" + 0.023*""범죄"" + 0.022*""의미"" + 0.015*""사형"" + 0.015*""반복"" + 0.015*""지원"""
4,"0.042*""사형"" + 0.021*""정신병원"" + 0.019*""항"" + 0.019*""칼부림"" + 0.018*""당사자"" + 0.018*""처벌"" + 0.017*""범죄"" + 0.016*""진짜"" + 0.016*""정신"" + 0.014*""살인"""
5,"0.030*""경찰"" + 0.027*""우려"" + 0.024*""반대"" + 0.016*""재앙"" + 0.016*""사람"" + 0.015*""각자"" + 0.015*""볼"" + 0.014*""도생"" + 0.014*""사기꾼"" + 0.013*""먼저"""
6,"0.032*""은둔"" + 0.031*""상상"" + 0.031*""외톨이"" + 0.022*""사람"" + 0.022*""글"" + 0.017*""블라인드"" + 0.016*""학생"" + 0.015*""자주"" + 0.015*""지도"" + 0.015*""응원"""
7,"0.035*""장애"" + 0.035*""범죄"" + 0.034*""인권"" + 0.031*""법"" + 0.030*""피해자"" + 0.025*""사형"" + 0.023*""가해자"" + 0.022*""가석방"" + 0.019*""미약"" + 0.018*""감형"""
8,"0.038*""강도"" + 0.036*""더구나"" + 0.031*""데"" + 0.023*""위험"" + 0.022*""대체"" + 0.021*""사형"" + 0.021*""바로"" + 0.020*""정당방위"" + 0.020*""시행"" + 0.019*""징역형"""
9,"0.037*""가족"" + 0.025*""판사"" + 0.021*""기각"" + 0.016*""범죄"" + 0.016*""부활"" + 0.015*""사형제"" + 0.013*""정신"" + 0.013*""나라"" + 0.012*""이상자"" + 0.012*""피해자"""
10,"0.043*""그냥"" + 0.038*""한동훈"" + 0.032*""사법"" + 0.023*""장관"" + 0.020*""경찰"" + 0.020*""개혁"" + 0.019*""진짜"" + 0.019*""목숨"" + 0.017*""무"" + 0.017*""법도"""
11,"0.033*""범죄"" + 0.022*""피해"" + 0.022*""장애인"" + 0.019*""피해자"" + 0.017*""전문가"" + 0.016*""현행범"" + 0.015*""기준"" + 0.014*""사회"" + 0.012*""고통"" + 0.011*""심신"""
